question_id,question,question_sentiment,answer,answer_sentiment
question_box_104994864909,So you aint fucking with no other girl but her tonight or do she really got you into her?,positive,I am only talking to her yes,positive
question_box_124221552113,th.. i'm friends with your older sister tea cut she's a boss ass bitch and you seem pretty boss too lol.a @set gustafson,positive,lol thanks,positive
question_box_110601684948,"What’s something you should throw away, but can’t?",positive,Hoe bags,positive
question_box_67711520954,is it true you were pregnant with tristen mastads baby?,positive,"i am not obligated to tell you that, so i am not answering any questions about it.",positive
question_box_107404686679,Tayler*,positive,fuck off.,negative
question_box_125445253280,just funny like shit drops on to your ask and you kind put that shit down hard lol,positive,i'm still confused please explain further,positive
question_box_115565577229,no he isnt hes a lil hoe,positive,Lol I just got called a hoe :P,positive
question_box_64432445599,i watch to much fairytale shit step me stars ;(,positive,all those fairy tales are full of shit.,positive
question_box_132297994679,fucking dickface,negative,hi,positive
question_box_113627415112,Selfie of your ass?,positive,leave,positive
question_box_69276094583,In sorry about you and Sean but you don't need to I and post 5000 pictures about it. It blows up my feed and it's really annoying so can you not,positive,um bitch can you not complain to me that I'm blowing up your motherfucking feed I obviously don't care so shut the fuck up quit being a little baby complaining to me grow up and unfollow me yourself,negative
question_box_118977618489,What do you think people think of you?,positive,Wow.. She's a bitch,positive
question_box_116375806298,I would be telling this anon to fuck off If I were you I would be so irratrd and I would cuss them of and tell them to gtf off of my ask,positive,that's swell for you (:,positive
question_box_124057919988,that answer make no fuckin sense,positive,life doesn make sense due,positive
question_box_132428404173,hello anon! leave a name and sana get your facts straight muna..... PARA LANG SA LAB KIT gosh Chloe just borrowed a lab kit. MAY NAGSESELOS agad... ABA sainyo na si Gabie! Wala po ginagawa si Chloe HAHAHHAA kaya LAYAS‎  ayen,positive,"oo nga anon, can u please fuck off?☺️",negative
773526163,you only live once that's the motto nigga solo . no j i have others is nsyanton (a) :p sera yousef,positive,hah:p i'm glad you told me fret in3ish aktr in marya :p,positive
question_box_117470345891,your so fucking hot,positive,thanks,positive
question_box_113284168594,Though of jasmine because I have not to do. .-.,positive,you gorgeous ×∞ (: we started talking. we should hang out sumtime. umm homebase and global tho. ive known her since 3rd grade. remember when you would comeover?  we would built leaf piles and shit. Lalos so cuteeee! i love you! and im always here for you♥,positive
question_box_119259443998,tbh: we hate all the same people so we're basically bestfriends. I miss the summer & I miss you. we had the best fucking times omg hahaha We should: hangout soon?‎  Caysi,positive,"omg 12 weeks ago :,( ugh yes same we gotta fight a lot of bitches",positive
question_box_26503012834,you tied your shirt to the side and tried to cover it with your bag. lol! bitch you aunt low. that bag cute though,positive,lmao savannah only you know that  ! lmao thank you,positive
question_box_123558421539,Nigga all da way,negative,Jesus,positive
773526230,"mad stfu, your just a pussy and think you the prettiest girl in the world, so stop being a douched and a tryhard",negative,ok anon,positive
question_box_50212582515,bang marry kill Jacob d kyle k max m,positive,ur nasty grow up. I dont know 2 of them and i really dont talk to the other.,positive
773525780,all you do is depress pp. you probe have deprsion cause its obvi of. your a terrible friend to folly and tommy and they dont even like you lol. why do you think they never even talk to you except in school. its cut they dont like you. nicole doesn love you back. its obvi you wanna fuck her. k y s,negative,ok first of alpeople* probably* depression* because* obvious* you're* molle* because* obvious*ok second of all.i don't have depression. sorry doctor anon but i dont think you have the credentials to diagnose me with a mental disorder. im not a bad friend and if i was they wouldn even be talking to me still? and if i loved nicole there wouldn't be anything wrong with that. but i guess those are all great reasons i should kill myself so !!!,positive
question_box_61763040328,I'm  praying I don't have an classes with a bitch like you,negative,"*any , and how am I a bitch. I bet you don't even know me ..",positive
question_box_129443674787,your ass is huge in them short todayaa,positive,thanks faith aa,positive
question_box_115395912811,wry,positive,bout to cry. holy shit. i'm home alone and i just heard gunshot.,positive
question_box_46541253483,i so wannna fuck u..,positive,u a damn lie,negative
question_box_125377406689,is being face an insecurity,positive,lmao stfu,negative
question_box_114652219967,Damn! Nigga you got stalkers too your life cant get any better lmao,positive,Lol it's all good I'm doing something right then !,positive
question_box_114819450001,out of set dylan and come who would u kill marry and fuck,positive,kill~colemary~dylanfuck~set,positive
question_box_103882161518,wat would u do if i grabbed ur ass,negative,who tf are you?!!? and I would've beaten ur ass!!!!!,negative
question_box_103026060120,Who's that one girl named Simone who you snapchat????? She's hot,positive,Dam nigga you thirstyyy.,positive
question_box_119266651891,Rate? FUCKING Perfect!‎  Justin Wheat,positive,Aw thank you Justin wheat :-),positive
question_box_117129886865,"so, can i show you? i wont send any kill la kill pick.. only my attack on titan pick..a @michael the writer",positive,"hope, too tired for picture spasm at the moment.",positive
question_box_115716623559,you spammed the shit out of trystan and its pissing me off sav‎  morgan(:,negative,He started it,negative
question_box_51805673954,k . you think im playing with your dusty ass,negative,i'm tired,positive
question_box_132436397582,Fuck you,negative,babe,positive
question_box_125770938179,"If you had to give someone lessons, what skill would you teach?",positive,to be a bad ass bitch,positive
question_box_122145889733,and you failed...,positive,"Have u looked in the mirror, because then you will see the real failure (kill'em)",positive
question_box_125083004181,are you my phone charge because without you i would die,positive,;),positive
question_box_113115755486,opinion on rodrigo,positive,hah fuck him,negative
question_box_109922814752,i want to fuck new,positive,.-. hahahahahahahahahahaha,positive
question_box_128419720933,stfu in don't need to point it out,positive,haha trisha mundi just admitted she stupid here,positive
question_box_115430282154,Why is my name Charly?,positive,Because you suck.,negative
question_box_107089395031,My nigga my nigga my mf nigga,positive,goodnight u fag,negative
question_box_124741883337,thoughts on mandy,positive,Pang..idfk how to spell that shit but her?,negative
question_box_127006976476,What’s your favorite way to have fun?,positive,Fighting Sonic and to eventually kill or defeat him so I RULE THE WORLD!!!,positive
question_box_111119105425,Are you gonna date,positive,Tbh no I'm not. I like someone but dating is over rated and an ass to deal with.,positive
773525694,ten broeck. fuck get it right bitch ass anon @ sam ten broeck,negative,be nice summer down,positive
question_box_18854279531,"fuck that then, i hate the cold",positive,lol were you expecting it to be hot here?,positive
question_box_21487260779,"Vas' happening, My Nigga?",positive,Zen is that u,positive
question_box_54280522427,"tities bounding up. she will begin to scream with pleasore as i fuck her even faster. while this is happening u and broke r so torned on by this u start to mastorbate with each other, shoving dildos in or ass and licking each other. everyone will be b screaming with joy, and justice will b squirtin",negative,i don't know if you understand. the only person that will be screaming is you as me justice & broke get bath & beat you to death,negative
question_box_121920390118,lol!!!! how am i the per here your the one who shows of your butt to every fucking guy,negative,i do not,positive
773525777,you can't tell someone to kill themselves just bc they said pp 20 mon page chill of out,positive,i didn literally mean it omg,positive
question_box_113719198809,why are you suck a blonde?x)‎  Adal,negative,*such why are you such a faggot?,negative
question_box_127987451688,he doesn't even defend  u,positive,.please stfu... honestly... your annoying. you annoy me and jose so much do go get a life honestly... you don't know us so stop trying to be cute and making him choose people thanks.,positive
question_box_107951443240,I love you too ❤️,positive,idk you you basic hoe who's totally not tori,negative
question_box_111866413044,Aha that was me because I challenge you to get more likes than me mwhahaha‎  Nick Passeri,positive,"OH OKAY GUYS IT WAS NICK, WE CAN BEAT HIS ASS INTO NEXT WEEK. LESSGOOO",positive
question_box_124559565432,how would you do on a song competition show?,positive,omg i would kill it,positive
question_box_128788356963,"Bye asshole, sianara, toodaloo, leave‎  Kristian Gibson",negative,Exactly,positive
question_box_128202870348,"anna gaimari is a two faced, ugly, slut ass bitch!!",negative,f u,positive
question_box_126029219921,fucking sister goals my sister hates me‎  amber,positive,hah not really goals,positive
question_box_129357299638,ur boyfriend is sooooooooooooooo adorable and fucking hot,positive,um thx I guess?,positive
question_box_123227075008,hailed is over reacting about this,positive,no she isn't so what if she takes these things seriously she really wants people to think positively of her and yea everyone makes mistakes and that happened once she's going through a lot of shit right now and she doesn't need any more of it so bye bitch,positive
question_box_129282098871,HAHA SALTY BITCHES leave them alone. theyre otp af. bye!✌,positive,smh,positive
question_box_44900484027,why r u FrIENDS wit madie? all the time she talks soon MuCH shit on YOu.,positive,stfu,negative
question_box_71366198309,-.- yes my friend is always right. trust me . watch ask him a question  ask.am/mefrankey,positive,lmao that's my friend too & what he told you is a bunch bull shit because he's a boy & he's nothing like the rest of them,positive
question_box_132440226238,You got ass beatin,positive,?,positive
question_box_123852319987,Haley cruthers,positive,"she really pretty! & we sometimes talk on the bus about bitches lol, but that's really it",positive
question_box_120921229386,aren't u 12?,positive,your a dumbas. people like you should go fucking die,negative
question_box_116370643586,what kills us and what makes us eternal?,positive,"nothing kills you unless you give it the power to kill you . nothing really makes you eternal, if you believe you'll ""live"" forever, then you will . its up to you",positive
question_box_52633157671,Stop now make that mother fucker hammer time,positive,Go Stupid! Go Stupid!,positive
question_box_124711877756,aye! this woman is upset and depressed because i used her for sex she's damn annoying about it!,positive,"you're fucking disgusting. don't ever use girls / woman for sex. that's just pure tucked up. we're not fucking sex objects. i've been used for that multiple times, and it's a terrible feeling, so she has every right to feel upset and depressed.",negative
question_box_131333385614,No mames‎  Jose Becerra,positive,Fuck up,negative
question_box_111656127048,What's your favorite movie scene?,positive,when you suck diss dickk,negative
question_box_128731121684,Whoever tht is they need to stfu bc you are perfect there just jealous,positive,awh thank you,positive
question_box_120848427199,a ain't shit,positive,word,positive
question_box_29606764707,about you don't like neither ass or tities,negative,i can't answer that,positive
773526182,where's my cheese,positive,chill nigga,positive
question_box_111197020058,what is your favorite old movie?,positive,die hard a,positive
question_box_130700868568,fyi I'm not a fuck boy...‎  Ben hay,positive,lol k,positive
question_box_58683460830,why are you i,positive,why are you not i?,positive
question_box_123033131012,why did you go to new vista thats like a school for losers,negative,Ok im really fucking tired of people thinking this. Did you know that it is the hardest public school to get into? There is no standardized testing and no bs. It's the only school that practices equity which is what the bvsds motto is. Also it has the highest over all happiness and graduation rate in the district. sure people that do drugs might go there and sure there is a lot of them but they are successful smart people so fuck you,negative
773525747,i'm still gonna fucking kill him. loan,positive,a you're getting protective over me c,positive
question_box_124359357570,"th - you are so perfect that it passes me off . your my want muddy . i love you so much , almost as much as i love your eyelashes. you are fucking hilarious and i can't want to fuck shit up w/ you . aaa  raven sparks",positive,oh thanks babe i love youaaaaaaaaaa,positive
question_box_59856018027,You're ma hoe,positive,yes,positive
question_box_112975123798,why do u let the girl you supposedly love get treated like shit by you,negative,i dont,positive
question_box_66313137723,Short ass,positive,-.-t,positive
773525716,"i'm just so ready to end my life. i've failed th grade, my family makes me feel useless, i don't have any friends left, i've been in and out of court from truancy. i have severe depression and anxiety. i just don't even know what to do anymore and it seems like the last option i have left :(",positive,"i know your life seems shitty right now but killing yourself isn't the way to go run. if your family is making you feel useless tell them that. yes i realize it's hard to do that, but talking to them could really help. if you ever need to talk you can always do me or talk to me on here. just please don't kill yourself.",positive
question_box_125979118921,"utf is wrong with that manhood anon, tell him/her that you are rimsha not timcha for him/her... urgh!!! copy cats everywhere! i'm gonna kill him/her. :/a @hay shahid",negative,year is to na dr afar i zarorat hay papalon ka doctor hay ajeb toi papal insan hay timcha timcha or rah hay -.-potiloag :/,positive
question_box_56528664286,would you let someone videotape you kissing another girl?,positive,no,positive
question_box_124949828901,ur so short,negative,Fuck u,negative
question_box_126650000801,you're literally perfect holy shit,positive,omgosh thank u by,positive
question_box_122430181710,I have tha balls to give u a child so better watch what ur sayin like I said avoid being alone,negative,Fuckin creep gtfo,negative
question_box_67037607430,what makes you sad ?,positive,when people die.,positive
question_box_127226276616,What party are these people talking about below dafug? no one tried to kill anyone lol‎  natalia talaugon,positive,They are talking about Ashley Lewis and katlyn remember the whole thing,positive
773525798,who's andy? and ask me stupid questions. who is andy so i can KiLL HiM bow,positive,utf andy's my best friend,positive
question_box_114420867135,Ayyy ma nigga,positive,Wassap,positive
question_box_22309093483,"oh shit your online? well thats weird ok, cooool. how are you?",positive,im actually not sry ha im good just blogging he he,positive
question_box_119627310073,What is a goal of yours?,positive,To develop a sexy ass body and my teeth will tie the bow on the present next year.,positive
question_box_122007832510,i don't like katie their she likes to talk shit about people and don't even now them,negative,"ulm,who is this??",positive
question_box_123570021634,It's honestly fucking disgusting how many pedos r asking u questions for Christs sake ur in 6th fuckingrade,positive,"Haha ya, who is this??",positive
question_box_19845674603,"i need a laugh, can you make a joke?",positive,No i suck at jokes sry,positive
question_box_118514490148,Can we fuck?!?!,positive,Sure,positive
773526137,who do you like?,positive,no one nigga,positive
question_box_116183621340,at least you wouldn't kill ashley :),positive,yeah!,positive
question_box_133667559029,You don't want to get to know the brookes they are bitches,positive,how?,positive
question_box_107985233596,"god damn tatum you are so fucking perfect, not only are you a 10/10 on looks but your personality kicks ass too <3",positive,a you're my favorite (:,positive
question_box_70029292624,what would you do it you had a hours to live?a  lord miller,positive,ink party till i die i guess,positive
question_box_119079711731,Nigger midget‎  Will Alexander,positive,Will! Shutup,positive
question_box_58628239070,i just called you and packed off to your voice,positive,what the fuck,positive
question_box_125790206831,"ur beautiful. stop letting the bitches get to you. ur not a cake face. I actually really like ur makeup. it's not too much, it's just always cool eye makeup. oh, and ur variety of lipsticks/ glosses is fabulous. it's no wonder everyone wants you to do their makeup. cuz you always do yours perfectly.",positive,Thank you so much lovely! :)❤️ means a lot,positive
question_box_126172644340,Why,positive,because shes fucking high,positive
question_box_30319633771,I just started talked to this guy in my class. And he is fucking amazing. He is so funny and cute i cant handle it. I really like him. He keeps asking me who I like but i can't tell him who I like bc it is him and that would make things wierd.. What do i do..?,positive,Hmm well keep talking to him for now & them after a while tell him how you feel or maybe he'll tell you how he feels...or give hints if you dont wanna straight out say it aha:),positive
773525760,what great quote would you like to share?,positive,we cut and kill flowers because we think there beautiful.we cut and kill ourselves because we think we are not .,positive
question_box_122948011478,i'm gonna kill u for posting that,negative,kendall,positive
question_box_60625099592,sap is a nigga,positive,oh,positive
question_box_113936900441,Single or taken?,positive,Taken....My ass to sleep ✌,positive
question_box_121631791427,or  fucking hot,negative,thanks,positive
question_box_41199661970,what is the one thing you want most in your life right now?,positive,every one to stop all the shit,positive
question_box_110414232080,Well he talks a lot of shit about you now,positive,okay then ...,positive
question_box_122103767875,i would die to date u,positive,text me,positive
question_box_125249671283,turn on and turn off?,positive,"stevens cock, turn off when he doesn't fuck me",positive
question_box_69042872437,who's your favorite celebrity?,positive,"after last night, prbly the weekend. he's fucking amazing",positive
question_box_120389394760,People bug you because you're really hot. But I hate reading that shit. It goes too far! They need to remember that you're still human. You deserve respect.,positive,thx bff ahaha,positive
question_box_125841020083,damn you got a nice ass,positive,how would you know,positive
question_box_125591918612,NO SHIT HOW WOULD A PERSON ASK U QUESTIONS IF THEY DONT HAVE ASKKK????,positive,You don't need an ask to ask questions actually.,positive
773526197,maybe,positive,ah you my nigga since day .1,positive
question_box_130449967884,Why are you even dating tommy. He's an asshole,negative,no he's not,positive
question_box_125057863369,Nigga u get hoes‎  denis,positive,Lol,positive
question_box_107385646297,Awh Maaan that's so long from now :'( I miss you so much .! I miss high school . Lol‎  Monique Avina,positive,It is long :( I miss you too ;( man I miss high school all the fun times we had in class always making jokes and shit lol I really was looking forward to come this year but it's hard to save money here cuz I never really had much in Cali but I'm learning to save now and plus my job hasn't counted my sick hours yet not til match so me n my sis put it aside til next year :( hopefully we can hang out when I do visit :),positive
question_box_107086318516,you a keener but you got nigger lips home. and it's just so sexy the like you got a nigga booty to bitch i'd cop that ass any day,negative,uh :/,positive
question_box_124109251572,Pap of your photo gallery,positive,i wanna do opinions because im so fucking boredlike 5 and send your @ for an opinion (:,positive
question_box_132740172055,Pap profile pic,positive,Can u click on it? cough lazy ass cough cough,positive
question_box_11008335816,You're my peasant. HAHA. THE TABLES HAVE TURNED. rude bitches can suck my d.  rude hoodratniqqa ratchet santaana>fountainvalley homequrl,positive,"all up in da hooood, ratchetqueeen.",positive
question_box_112938151539,Ma tbh est OU?,positive,Up ur ass,negative
question_box_111834742914,you swear a lot,positive,not fucking true,positive
question_box_124680889969,i love my nails hahaa  harry style,positive,same omg the shit i do when i'm bored smhs,positive
question_box_122804145945,"u r so pretty, smart, athletic, and just perfect. if he don't treat u right then don't worry because i bet there's a line of guns that want u more than he did that will also treat u 10 times better than he did",positive,it ain't hard to treat me better then he did bc he treated me like shit lmao but good for him he can go live his life knowing he a lying theater idgaf.,positive
question_box_129374284779,"omg that was literally her worst mistake, she told me earlier, be gone bitch.‎  kelsey.",positive,Literally I like someone way different ✋,positive
question_box_123940373020,Opinion on sex?,positive,"sex is weird, why is it necessary for a male to shove their dick into a vagina ; for females to suck dick ; for males to eat out a vagina ; for males to shove their duck into an asshole?? lmao",positive
question_box_18124670059,O.M.G,positive,FUCKING LARRY,positive
question_box_118164999857,she müsen au die toilete geben?a @camryn kirsch a,positive,no u cannot go to the bathroom!!!,positive
question_box_133290076045,What song defines your childhood?,positive,"Tonight I hate this fucking town, and all of my best friends will be the death of meee",positive
question_box_128618097271,Hey it's gabby from school Angela's friend and I heard u talking with AMILA saying that you are going to take alex away from her wtf you can't have him he is hers she likes him more than words can explain and honestly if you do take him away from her I will hurt you,negative,"Bitch wtf I do not won't him, u probably do since u so worried about me taking him and FYI I don't even talk to him like that, and I'll like to see YO BITCH ASS TRY TO HURT ME, COME ON ILL BE WAITING, AND DONT FORGET TO BRING UR NURSE WITH YOU CUZ U GONE NEED HER. OR HIM  HUNY BUN.",negative
question_box_115043098731,What do you do to let others know you love them?,positive,Suck their dicks,positive
question_box_109256087667,can i fuck u maybe?,positive,thirsty? here;),positive
773525832,"shit, it's me i forgot to take it off anon lol clair",positive,oh okay haha(:,positive
question_box_128920731265,"Shut the fuck up. Megan is not fake if anyone you are the fake person anon. Megan is beautiful, smart, funny, selfless and let me tell you something. Being selfless and beautiful even when she tries to make other people feel better when they're down is NOT fake. Would protest more but no more❤️",negative,unbelievably grateful for you,positive
question_box_126299187932,actually it is because on of there best friends told me,positive,"Even if she did, it's not like shit deserves any of this shit",positive
773525816,why do u talk shit about someone then act like u like them? just wondering,positive,"i don't do that just saying""""",positive
question_box_123728906859,How will you celebrate New Year's Eve?,positive,By sitting on my lazy ass,positive
question_box_113282230102,"when barbara hanna unjayila angle milena gin fernando and all the hottest girls&boys leave , watch the th traders think they the shit lmfao",positive,lmao ink man,positive
question_box_127478292631,list everyone you hate,positive,"that would be rude, and unlike them, i'm not rude and a self centered bitch like most of them are, so no i'm not going to list their names",positive
question_box_125991198669,friendzone ?,positive,friend zone lmfao ma bitch to a i don't mean to be the lmfao,positive
question_box_41588704536,MFK: Jonathan Tobey Aaron,positive,"Omfg haven't I answered this. Marry Jonathan. Fuck Aaron, kill Tobey. Sorry Tobey.",positive
773526154,haha i see i see team no sleep nigga,positive,teamnoslep di lol,positive
question_box_121498492465,are u really pagan,positive,fuck no i go to a catholic high school,positive
question_box_123142717507,suck on my Chinese nuts biotch,positive,no i am good lyza,positive
question_box_118537865826,Google? What's that,positive,My ass -.-,positive
question_box_122663070542,so i hear u like someone now ;),positive,bitch i might,negative
question_box_114537734227,calm down anon. she doesn't need to tell you who she likes and she's not being a bitch. back off ve,positive,thank you,positive
question_box_46188988159,"if you became a multi-millionaire overnight, what would you buy?",positive,what ever the fuck i wanted to,positive
question_box_117285223696,Do u cut urself ?,positive,i used to,positive
question_box_129809921550,Smartest: Max Dumbest: Nico and Nikki and Vale Most annoyingest: Arianne Biggest fuck boy: Santi Popular on ask: Max Ashly Gero Simplest answers: Matteo Arianne Antonella,positive,well thanks for putting me and nikki on dumbest but some of the rest is pretty accurate,positive
question_box_124385785131,Any further creepy shit.. Not from me :p c u,positive,From who? -_-,positive
question_box_116773450318,gtfua @mitil panel,positive,stfu,positive
question_box_106663924808,Am I a fucking idiot,negative,don't call my mom a milf,negative
question_box_52640322087,Lance is a ugly ass name,negative,"I bet you're ugly that's why you won't reveal yourself, ole' anonymous ass.",negative
question_box_126856581474,"you should check out ""above the law"" by bad meets evil if you like eminem, pretty real shit",positive,Will do,positive
question_box_126592421065,ur prof pic reminds me of when i saw this hot ass guys dick and it was like a tic tac and i tried to be nice,positive,That's cool but Ik tht ain't me,positive
question_box_110562580979,aaron,positive,i'm gonna miss him so much when he leaves. i don't know who will give me rides home or take me out nights like tonight. or almost kill me on a teter voters. he's probably one of the sweets guns i know. <a him,positive
question_box_123878936072,with who then? who do u like,positive,fuck off,negative
question_box_126982640114,want about ass,positive,no comment,positive
question_box_127024945543,I won't be a dumb fuck like him lol,positive,"Why do you consider him a ""dumb fuck""?",positive
question_box_107620671861,I'm tryin but she ain't answering my questions. I know she's on ask but she's ignoring them,positive,I don't give a fuck man just fuck off with Megan fuck off with Sergio and fuck off with me. Aite?  Have a good fucking night   Oh and thanks for pissing me off you cocksucking bitch,negative
question_box_113205598297,I said bye cause I don't wanna talk to your ass anymore,negative,Fuckkkkkkkkk offfffff,negative
question_box_130744971621,"that wasnt me lmao, i aint no bitch to be on anon‎  cedric",positive,That's the cedric I know ,positive
question_box_129450315644,whoever is the most like u..like when u die who would u be...idk how to explain it,positive,...,positive
question_box_120123769507,favortie shit,positive,favorite shit?my brothers Paul and Mat,positive
question_box_125711877829,that it arena im telling shaile and you best be ready for what coming your way i swear you never fucking learn dont you always missing shit up,negative,"tell shaile there's nothing to say to her, so dumb",negative
question_box_114152327283,Anon stfu before i enlarge ur fkn forehead with ur own dick sara text me noww‎  Michael Torakis,positive,"I loveyou, and ok",positive
question_box_128103712619,you already got you a nigga don't you?,negative,i got my self why? :),positive
question_box_11705087651,im going to rob you for every shoe you have !!,positive,"& i can just buy them all over again , or i can kill you .",negative
question_box_106006570824,That nigga said he can hit it right now if he wanted ! I'm dead!!! Hahaha he's UGLLY af that's what makes it so funny‎  Papi Adam,positive,wait which kid lmao,positive
question_box_108639311703,Ur so hot!! I wanna trade so bad and I want to fuck u so hard,positive,naah,positive
question_box_124343988175,"th || you know i wantcha cut GiRL i really wantcha, and a LOOKiN NiCE got me cooper then a BaG of iCE now freezeaaaa iViLYSFM TaSia!! you MaH NiGGa, MaH BiTCH, and my best BLaCK FRiEND you MaH bf(((: our convoy iNTENSE aS fuck and we TaLK aBOUT aNY and everybody((; iLY to the moon and BaCKaa(:a @ethela",positive,"yes ethel, like omfg bitches these days!!!-_- but i love you so FREAKiNG much like andncnfkcnenxk!!!!!!!!! aaaaa like words couldn't even describe!! love you bitch :*",positive
question_box_108259706707,truth is ; you're fucking org & ily . it was really cool seeing you last weekend . next time you guns need to come out here !(:a @yo mamma,positive,i already miss you lol and yes we will! this summer im getting my license so we will definitely see each other more haha ily,positive
question_box_125041320888,what is on your favorite graphics the?,positive,fuck.,positive
773525809,"this isn't a question, but whatever. i like you,a lot, at least i did/do hell i don't know. i want to be with you, but the reality of it is i can't, because i am nothing like the person you describe you want. believe me that shit eats me up. anyway, i wish you well. go back to answering questions.",positive,you really don't know what i want. i may broadcast it at times but that is just from celebrity crushed or what not . what i need is far more valuable then what i want . reveal yourself and lets see what happens,positive
question_box_123027294652,Actually whoever just said that the 6th graders were fiesty bitches is wrong it's actually the 7th graders that are,positive,stop,positive
question_box_124343988175,"th || you know i wantcha cut GiRL i really wantcha, and a LOOKiN NiCE got me cooper then a BaG of iCE now freezeaaaa iViLYSFM TaSia!! you MaH NiGGa, MaH BiTCH, and my best BLaCK FRiEND you MaH bf(((: our convoy iNTENSE aS fuck and we TaLK aBOUT aNY and everybody((; iLY to the moon and BaCKaa(:a @ethela",positive,"yes ethel, like omfg bitches these days!!!-_- but i love you so FREAKiNG much like andncnfkcnenxk!!!!!!!!! aaaaa like words couldn't even describe!! love you bitch :*",positive
question_box_105869401343,cause no one likes you.,negative,awh anon talking shit lololololol .,positive
question_box_45216895512,A serial killer with a knife is about to claim their next victim....YOU. What are your final words and/or actions?,positive,"If  they are about to kill me, how will I say anything?",positive
773526195,hey samy sam,positive,sup may nigga!!,positive
question_box_120204302972,what is your lucky number?,positive,fucking 7 omfg,positive
question_box_132570093442,Zoe Trey is messing with you and you need to go to bed.  The blood moon has gotten to you and you can't take a joke.,positive,fuck off please,positive
question_box_108501983200,i know how or unna die imma kill u,positive,teez harsh much,positive
question_box_122563012771,who the fuck has a bread like that,positive,my brother. it was a joke.,positive
773525739,a-to:no what people don't understand is how to forgive others!!and realize that the other person wants to move on!!! and what you don't understand is...why i can't be with you is because of tour...that will kill us.. l-smiles-let's go babe lou:yea i mean it's for the good i guess but i gig bee,positive,"h-to:but babe that doesn't mean you need to kill yourself !  and wait for me as i will wait for you please baby i would rather not have you on tour then dead, that's awful.    d-thinks he's a jerk-   l-wait and mummy?-points upstairs smiling-",positive
question_box_124794449013,how will you celebrate your next birthday?,positive,big ass party at my house forsure((;,positive
question_box_102876901192,Stfu and take the compliment haha‎  Papi Adam,positive,alrightyy lmaoo,positive
question_box_122101849790,.‎  anna scanlan,positive,"okay, seriously people! what the fuck is wrong with you!!! I'm a human being as well!!! what did I do to make you hate me!!! I do not go around asking people about me, cause honestly I DO NOT CARE!!!! stop talking shit about me. I'm fucking tired of it! it stops now! and if it doesn't, oh fuck will happen!",negative
question_box_131015809937,@‎  Kambria:),positive,I miss u holy shit were gonna hang soon. Your so pretty and we were so close in 8th grade,positive
question_box_117416768627,for that ill get ava to kick you ass fucking meanie‎  Mini Savage,negative,Cute you need your girlfriend to kick my ass,negative
question_box_123355577241,st of all there is no such thing as popularity and and of all ashley has a clear face unlike us so i suggest that u stop treating her like shit and leave her alone bc she doesn't have any acne on her face bc she actually takes care of her face unlike u so stfu and leave her alone!!a @torn obedin,negative,the tornaa,positive
question_box_119188348581,Why do they suck?,positive,They just do because if they didn't want to be with you why didn't the just break up with there bf/gf. Cheating Is just not right,positive
question_box_123876098788,easy hoe,negative,okay,positive
question_box_116302562194,nick stfu like kayleighs been out with a boys. i wanna see how many u have cut i can think of a of the top of my head. so,positive,i actually haven't even dated a girls so have fun naming them do it no balls lmfao,positive
question_box_126518377531,Vic,positive,Alyssa's ass,positive
question_box_106096431771,Ur like gross and dirty,negative,No I just took a shower bitch,negative
question_box_128579016734,I love u that's how I fucking feel about u but I know I'll never have a fucking chance,positive,woah chill❤️,positive
773526162,who's or boy bestfriend,positive,my nigga on,positive
question_box_127261139690,Why were you so pissed in gym,positive,would u be pissed at someone if the said u suck at softball or what ever sport u play Ya u would prolly be crying too and then wanting to quit cuz they said u sucked Ya just stfu and mind Ur own damn buisness,negative
question_box_120292181305,Biggest Asshole?,negative,Mr. Blier -_-,positive
question_box_123916612697,Is that right ? x) your the skank here not me (: I heard you suck good dick too,negative,How the fuck am I a skank? And aw really? well I've never had a dick anywhere in me,positive
question_box_52853675559,Suck me,positive,I'll chop that bitch off and staple it to your forehead don't play with me.,negative
question_box_120044229374,fucking nigger lover. just gonna lynch all these nigger,negative,fuck youa,negative
question_box_109706712691,cut not cute‎  Stefanie Eliopoulos,positive,The,positive
question_box_121781987443,Where dey at doe?‎  King Mugz,positive,shut the fuck upppp,negative
question_box_126641269748,Why'd you cover Abby can't you just catch the ball... It's not a bullet that your protecting her from,positive,its was just my fucking reaction jesus christ,positive
question_box_128557115272,what do u think about the boys saying shit about bolivia?,positive,i think they need to stfu bc she is going thou enough problems right now as it is,positive
question_box_114995229043,a lot of people do. kill seen kill,positive,ikr!!!ikr!!!,positive
question_box_65800558369,If u get me hot chocolate,positive,k fuck you thanks for doing what I asked and writing me stuff(; but I'm tired SO TEXT ME NOW YA FUCK,negative
question_box_132575598357,Get the hell out of hamza's life you shit,negative,Okay? Okay.,positive
question_box_109563715811,Don't be a bitch when you get a compliment,positive,Oh I'm sorry I really don't care,positive
question_box_127051922587,I'll fucking find you and go all Jenkins on your neck ლ(´ڡ`ლ) (everyone I follow)‏  Connor,negative,Uhm. XD,positive
773526167,what is better than chocolate?,positive,nothing nigga,positive
question_box_125742448316,what is the weirdest thing you've heard somebody say?,positive,"""can i suck on your feet"" o.o",positive
question_box_54635172027,how'd u feel if i killed myself?,positive,don't ever kill yourself. never make a permeant decision on a temporary feeling. everything will get better in time. text me if you need anything,positive
